cwe,cve_id,lines,chars,functions_detected,calls_detected,variables_detected,pointers_detected,arrays_detected,conditionals_detected,loops_detected,ast_success,vulnerability_indicators,indicator_count
CWE-119,CVE-2014-3182,88,2802,1,21,8,51,6,6,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2014-3182,57,2166,1,7,6,7,1,3,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-7027,59,1832,1,4,3,31,0,4,1,True,['pointer_operations'],1
CWE-119,CVE-2016-3134,109,2777,1,11,7,40,1,8,3,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2016-3134,52,1373,1,5,6,7,6,7,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2016-3134,14,388,1,3,2,6,0,2,0,True,['pointer_operations'],1
CWE-119,CVE-2016-3134,104,2600,1,10,7,39,1,7,3,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2016-3134,30,916,1,4,7,22,2,4,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2016-3134,52,1377,1,5,6,7,6,7,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2016-3134,30,906,1,4,7,22,2,4,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2016-3134,109,2766,1,11,7,40,1,8,3,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-1929,120,3694,1,37,3,64,8,31,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2012-3364,26,657,0,4,3,16,0,1,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-119,CVE-2012-3364,13,368,0,2,3,6,0,0,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-119,CVE-2012-3364,35,1099,1,5,5,20,0,3,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-119,CVE-2018-10124,34,694,1,12,5,2,0,6,0,True,['pointer_operations'],1
CWE-119,CVE-2017-15126,124,3383,1,36,4,82,0,8,1,True,['pointer_operations'],1
CWE-119,CVE-2017-15126,51,1184,1,16,3,35,0,4,1,True,['pointer_operations'],1
CWE-119,CVE-2016-7425,245,8007,1,48,24,129,5,23,0,True,"['buffer_variables', 'unsafe_functions', 'pointer_operations', 'array_operations']",4
CWE-119,CVE-2013-0310,136,3564,1,10,6,10,13,17,2,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2016-4998,54,1494,1,6,6,11,6,8,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2016-4998,76,2111,1,14,10,30,6,8,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2016-4998,55,1458,1,6,6,11,6,8,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-5548,28,863,1,5,3,17,3,2,0,True,"['buffer_variables', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2017-5548,16,402,1,3,3,3,1,1,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-5548,12,352,1,3,2,4,0,1,0,True,['pointer_operations'],1
CWE-119,CVE-2012-6712,64,1981,1,12,5,30,3,4,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2012-6712,19,659,1,3,1,18,6,2,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-16996,151,3909,1,38,5,59,7,28,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-16996,133,4077,1,32,8,32,9,21,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-2850,76,1551,1,26,10,4,1,10,1,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2013-2850,29,778,1,10,4,8,0,2,0,True,['pointer_operations'],1
CWE-119,CVE-2014-3184,9,268,0,1,3,1,3,1,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2014-3184,95,2749,0,12,5,19,21,10,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2014-3184,11,346,0,1,3,1,7,1,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2014-3184,61,1894,0,4,3,8,15,5,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2014-3184,12,378,0,1,3,1,8,1,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2019-19602,4,158,1,1,1,1,0,0,0,True,['pointer_operations'],1
CWE-119,CVE-2022-3636,74,1662,1,20,9,31,2,10,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2018-7740,107,3109,1,17,6,5,0,11,0,True,['pointer_operations'],1
CWE-119,CVE-2018-7740,52,1375,1,10,4,12,0,5,0,True,['pointer_operations'],1
CWE-119,CVE-2018-8822,24,568,1,10,5,2,0,1,0,True,"['unsafe_functions', 'pointer_operations']",2
