lines,chars,tokens,comments,functions,max_nesting,comment_ratio,cwe,cve_id,instance_idx,code_type
88,2802,269,5,2,2,0.056818181818181816,CWE-119,CVE-2014-3182,0,before_change
57,2166,275,23,2,4,0.40350877192982454,CWE-119,CVE-2014-3182,1,before_change
59,1832,176,14,2,3,0.23728813559322035,CWE-119,CVE-2013-7027,0,before_change
109,2777,314,8,2,6,0.07339449541284404,CWE-119,CVE-2016-3134,0,before_change
52,1373,162,2,2,4,0.038461538461538464,CWE-119,CVE-2016-3134,1,before_change
14,388,46,0,2,1,0.0,CWE-119,CVE-2016-3134,2,before_change
104,2600,295,12,2,6,0.11538461538461539,CWE-119,CVE-2016-3134,3,before_change
30,916,101,4,4,3,0.13333333333333333,CWE-119,CVE-2016-3134,4,before_change
52,1377,162,2,2,4,0.038461538461538464,CWE-119,CVE-2016-3134,5,before_change
30,906,101,4,4,3,0.13333333333333333,CWE-119,CVE-2016-3134,6,before_change
109,2766,314,8,2,6,0.07339449541284404,CWE-119,CVE-2016-3134,7,before_change
120,3694,365,0,2,2,0.0,CWE-119,CVE-2013-1929,0,before_change
26,657,64,0,0,1,0.0,CWE-119,CVE-2012-3364,0,before_change
13,368,31,0,0,1,0.0,CWE-119,CVE-2012-3364,1,before_change
35,1099,85,0,2,3,0.0,CWE-119,CVE-2012-3364,2,before_change
34,694,77,0,2,4,0.0,CWE-119,CVE-2018-10124,0,before_change
124,3383,375,39,2,4,0.31451612903225806,CWE-119,CVE-2017-15126,0,before_change
51,1184,121,8,2,4,0.1568627450980392,CWE-119,CVE-2017-15126,1,before_change
245,8007,635,1,2,5,0.004081632653061225,CWE-119,CVE-2016-7425,0,before_change
136,3564,347,12,2,5,0.08823529411764706,CWE-119,CVE-2013-0310,0,before_change
54,1494,173,2,2,4,0.037037037037037035,CWE-119,CVE-2016-4998,0,before_change
76,2111,242,3,2,2,0.039473684210526314,CWE-119,CVE-2016-4998,1,before_change
55,1458,172,2,2,4,0.03636363636363636,CWE-119,CVE-2016-4998,2,before_change
28,863,107,1,2,2,0.03571428571428571,CWE-119,CVE-2017-5548,0,before_change
16,402,46,0,2,2,0.0,CWE-119,CVE-2017-5548,1,before_change
12,352,44,0,2,1,0.0,CWE-119,CVE-2017-5548,2,before_change
64,1981,244,8,2,2,0.125,CWE-119,CVE-2012-6712,0,before_change
19,659,86,0,2,2,0.0,CWE-119,CVE-2012-6712,1,before_change
151,3909,468,15,6,5,0.09933774834437085,CWE-119,CVE-2017-16996,0,before_change
133,4077,510,14,6,3,0.10526315789473684,CWE-119,CVE-2017-16996,1,before_change
76,1551,168,1,2,4,0.013157894736842105,CWE-119,CVE-2013-2850,0,before_change
29,778,75,0,2,2,0.0,CWE-119,CVE-2013-2850,1,before_change
9,268,36,0,0,2,0.0,CWE-119,CVE-2014-3184,0,before_change
95,2749,295,8,0,3,0.08421052631578947,CWE-119,CVE-2014-3184,1,before_change
11,346,45,0,0,2,0.0,CWE-119,CVE-2014-3184,2,before_change
61,1894,191,10,0,3,0.16393442622950818,CWE-119,CVE-2014-3184,3,before_change
12,378,50,0,0,2,0.0,CWE-119,CVE-2014-3184,4,before_change
4,158,17,0,2,1,0.0,CWE-119,CVE-2019-19602,0,before_change
74,1662,176,0,2,3,0.0,CWE-119,CVE-2022-3636,0,before_change
107,3109,400,40,2,3,0.37383177570093457,CWE-119,CVE-2018-7740,0,before_change
52,1375,167,13,2,1,0.25,CWE-119,CVE-2018-7740,1,before_change
24,568,63,1,2,2,0.041666666666666664,CWE-119,CVE-2018-8822,0,before_change
130,2804,311,1,4,5,0.007692307692307693,CWE-119,CVE-2022-3435,0,before_change
4,144,14,0,2,1,0.0,CWE-119,CVE-2021-39633,0,before_change
22,517,73,1,2,2,0.045454545454545456,CWE-119,CVE-2021-4157,0,before_change
52,1543,166,1,2,2,0.019230769230769232,CWE-119,CVE-2013-6381,0,before_change
27,768,95,0,2,1,0.0,CWE-119,CVE-2014-6416,0,before_change
45,801,93,0,2,2,0.0,CWE-119,CVE-2014-6416,1,before_change
130,3260,369,14,2,4,0.1076923076923077,CWE-119,CVE-2014-0069,0,before_change
57,1565,225,15,2,2,0.2631578947368421,CWE-119,CVE-2017-7895,0,before_change
49,1297,185,10,2,2,0.20408163265306123,CWE-119,CVE-2017-7895,1,before_change
53,1361,196,15,2,2,0.2830188679245283,CWE-119,CVE-2017-7895,2,before_change
19,552,49,0,0,2,0.0,CWE-119,CVE-2015-1333,0,before_change
59,1185,138,0,2,2,0.0,CWE-119,CVE-2021-3635,0,before_change
118,3065,318,0,2,4,0.0,CWE-119,CVE-2016-5829,0,before_change
16,350,45,0,2,1,0.0,CWE-119,CVE-2013-4512,0,before_change
7,139,13,0,2,1,0.0,CWE-119,CVE-2017-18222,0,before_change
7,141,13,0,2,1,0.0,CWE-119,CVE-2017-18222,1,before_change
7,128,11,0,2,1,0.0,CWE-119,CVE-2017-18222,2,before_change
6,117,11,0,2,1,0.0,CWE-119,CVE-2017-18222,3,before_change
19,391,40,0,2,3,0.0,CWE-119,CVE-2013-4312,0,before_change
16,320,33,0,2,2,0.0,CWE-119,CVE-2013-4312,1,before_change
63,1460,224,2,2,3,0.031746031746031744,CWE-119,CVE-2017-8062,0,before_change
106,3069,348,4,2,2,0.03773584905660377,CWE-119,CVE-2017-8062,1,before_change
38,1054,138,13,2,2,0.34210526315789475,CWE-119,CVE-2013-2893,0,before_change
173,5034,607,13,2,5,0.07514450867052024,CWE-119,CVE-2013-2893,1,before_change
54,1395,177,0,2,2,0.0,CWE-119,CVE-2013-2893,2,before_change
12,361,44,0,2,1,0.0,CWE-119,CVE-2017-8068,0,before_change
12,348,42,0,2,1,0.0,CWE-119,CVE-2017-8068,1,before_change
25,669,62,0,2,2,0.0,CWE-119,CVE-2007-6762,0,before_change
35,1086,127,0,2,2,0.0,CWE-119,CVE-2013-2899,0,before_change
29,740,77,3,2,2,0.10344827586206896,CWE-119,CVE-2017-17856,0,before_change
138,3144,353,30,2,4,0.21739130434782608,CWE-119,CVE-2013-1772,0,before_change
7,159,11,0,2,1,0.0,CWE-119,CVE-2013-1772,1,before_change
8,250,24,0,2,1,0.0,CWE-119,CVE-2013-1772,2,before_change
26,556,71,6,0,3,0.23076923076923078,CWE-119,CVE-2013-1772,3,before_change
39,899,111,1,2,2,0.02564102564102564,CWE-119,CVE-2013-1772,4,before_change
151,4318,509,43,4,4,0.2847682119205298,CWE-119,CVE-2013-1772,5,before_change
153,3554,381,17,2,5,0.1111111111111111,CWE-119,CVE-2013-1772,6,before_change
199,5841,580,16,2,3,0.08040201005025126,CWE-119,CVE-2015-5156,0,before_change
76,2136,274,12,2,2,0.15789473684210525,CWE-119,CVE-2021-4204,0,before_change
257,7814,907,48,16,4,0.1867704280155642,CWE-119,CVE-2021-4204,1,before_change
230,7172,835,14,16,5,0.06086956521739131,CWE-119,CVE-2021-4204,2,before_change
53,1519,202,16,0,3,0.3018867924528302,CWE-119,CVE-2023-6560,0,before_change
104,2525,267,1,2,4,0.009615384615384616,CWE-119,CVE-2011-4098,0,before_change
128,3681,433,10,2,5,0.078125,CWE-119,CVE-2011-4098,1,before_change
64,1402,150,0,2,3,0.0,CWE-119,CVE-2011-4098,2,before_change
36,738,93,3,2,3,0.08333333333333333,CWE-119,CVE-2016-3955,0,before_change
25,759,64,0,0,3,0.0,CWE-119,CVE-2017-18379,0,before_change
91,1857,229,13,2,7,0.14285714285714285,CWE-119,CVE-2013-1773,0,before_change
82,2075,231,25,2,2,0.3048780487804878,CWE-119,CVE-2013-1773,1,before_change
142,3112,337,2,2,4,0.014084507042253521,CWE-119,CVE-2013-4588,0,before_change
129,3360,362,9,8,3,0.06976744186046512,CWE-119,CVE-2013-4588,1,before_change
39,1011,104,0,0,2,0.0,CWE-119,CVE-2015-4036,0,before_change
29,760,102,5,2,2,0.1724137931034483,CWE-119,CVE-2015-4036,1,before_change
49,1284,160,0,2,3,0.0,CWE-119,CVE-2013-0231,0,before_change
33,845,106,2,2,2,0.06060606060606061,CWE-119,CVE-2013-0231,1,before_change
4,84,10,0,2,1,0.0,CWE-119,CVE-2013-0309,0,before_change
8,229,25,0,2,1,0.0,CWE-119,CVE-2022-3625,0,before_change
8,229,25,0,2,1,0.0,CWE-119,CVE-2022-3625,1,before_change
62,1793,204,0,2,3,0.0,CWE-119,CVE-2018-14615,0,before_change
27,650,59,2,2,1,0.07407407407407407,CWE-119,CVE-2013-4514,0,before_change
44,1265,139,3,0,2,0.06818181818181818,CWE-119,CVE-2011-5327,0,before_change
134,3852,353,6,2,4,0.04477611940298507,CWE-119,CVE-2017-16534,0,before_change
37,745,84,1,2,3,0.02702702702702703,CWE-119,CVE-2017-18193,0,before_change
132,3282,347,20,2,4,0.15151515151515152,CWE-119,CVE-2016-8633,0,before_change
64,1757,167,0,2,2,0.0,CWE-119,CVE-2016-8633,1,before_change
40,911,115,6,2,2,0.15,CWE-119,CVE-2022-3541,0,before_change
445,12362,1367,72,6,5,0.16179775280898875,CWE-119,CVE-2017-1000253,0,before_change
24,674,72,0,2,2,0.0,CWE-119,CVE-2013-2895,0,before_change
132,3608,451,42,4,3,0.3181818181818182,CWE-119,CVE-2014-0205,0,before_change
11,224,27,0,0,1,0.0,CWE-119,CVE-2014-0205,1,before_change
6,140,16,0,2,1,0.0,CWE-119,CVE-2014-0205,2,before_change
13,258,31,0,2,1,0.0,CWE-119,CVE-2014-0205,3,before_change
230,6610,710,16,4,4,0.06956521739130435,CWE-119,CVE-2016-8658,0,before_change
82,2111,218,11,0,2,0.13414634146341464,CWE-119,CVE-2022-3649,0,before_change
73,1571,190,1,2,3,0.0136986301369863,CWE-119,CVE-2016-10764,0,before_change
75,1586,201,9,2,4,0.12,CWE-119,CVE-2022-3640,0,before_change
9,245,37,0,2,1,0.0,CWE-119,CVE-2017-16526,0,before_change
30,766,79,0,2,1,0.0,CWE-119,CVE-2014-3183,0,before_change
182,5139,456,11,2,2,0.06043956043956044,CWE-119,CVE-2015-5283,0,before_change
37,970,77,6,2,1,0.16216216216216217,CWE-119,CVE-2015-5283,1,before_change
43,968,110,2,0,3,0.046511627906976744,CWE-119,CVE-2016-1583,0,before_change
11,262,28,0,2,1,0.0,CWE-119,CVE-2013-1860,0,before_change
43,1023,120,0,2,3,0.0,CWE-119,CVE-2013-1860,1,before_change
99,2120,255,6,2,4,0.06060606060606061,CWE-119,CVE-2013-1860,2,before_change
15,437,50,0,2,2,0.0,CWE-119,CVE-2014-8884,0,before_change
21,632,72,0,2,1,0.0,CWE-119,CVE-2013-2234,0,before_change
149,3790,430,7,4,3,0.04697986577181208,CWE-119,CVE-2018-12233,0,before_change
101,3399,382,19,2,3,0.18811881188118812,CWE-119,CVE-2017-7541,0,before_change
238,5325,618,5,4,5,0.02100840336134454,CWE-119,CVE-2014-2309,0,before_change
87,2159,240,10,2,3,0.11494252873563218,CWE-119,CVE-2017-16913,0,before_change
29,850,94,0,2,2,0.0,CWE-119,CVE-2017-5547,0,before_change
29,823,88,0,2,2,0.0,CWE-119,CVE-2017-5547,1,before_change
22,698,90,2,2,1,0.09090909090909091,CWE-119,CVE-2016-8632,0,before_change
39,843,93,0,2,2,0.0,CWE-119,CVE-2016-8632,1,before_change
100,2540,285,4,2,3,0.04,CWE-119,CVE-2016-8632,2,before_change
62,1162,141,2,2,3,0.03225806451612903,CWE-119,CVE-2018-1120,0,before_change
166,3245,401,17,2,5,0.10240963855421686,CWE-119,CVE-2018-1120,1,before_change
43,1210,148,17,2,3,0.3953488372093023,CWE-119,CVE-2018-1120,2,before_change
57,1392,172,17,2,2,0.2982456140350877,CWE-119,CVE-2021-22543,0,before_change
84,2214,253,10,2,4,0.11904761904761904,CWE-119,CVE-2018-7566,0,before_change
355,10446,1096,8,4,4,0.022535211267605635,CWE-119,CVE-2018-20855,0,before_change
93,2036,214,0,2,4,0.0,CWE-119,CVE-2016-5728,0,before_change
44,1015,130,6,2,2,0.13636363636363635,CWE-119,CVE-2018-1000199,0,before_change
